run_id;date;parent_run_id;parent_script;baseline_reference;queue_test_id;main_parameter;main_from;main_to;dependent_parameter;dependent_from;dependent_to;expected_effect;status;preflight_pass;no_op_detected;effective_change_check;w8_weeks_traded;w24_weeks_traded;w52_weeks_traded;w8_trades;w24_trades;w52_trades;w8_wins;w24_wins;w52_wins;w8_losses;w24_losses;w52_losses;w8_ties;w24_ties;w52_ties;w8_pnl;w24_pnl;w52_pnl;w8_spy_compare;w24_spy_compare;w52_spy_compare;accepted_or_rejected;notes;run_dir
EXP_001;2026-04-07 15:59:07;BASELINE_CLEAN;C:\Pythons\ML-Trading\Base_Archivos_SPY\spy_context_asset_profile_configurable_regime_weeks_gated_close_vs_sma50_1_5_FIXED_GATES.py;BASELINE_CLEAN;TEST_A;ENABLE_CLOSE_VS_SMA50_FILTER;False;True;MAX_CLOSE_VS_SMA50_PCT;1.5;0.5;Menor ruido de basket, con posible costo de frecuencia.;run_partial_valid;true;false;"{""no_op_detected"": false, ""active_logic_changed"": true, ""details"": [""effective_diff ENABLE_CLOSE_VS_SMA50_FILTER: false -> true"", ""effective_diff MAX_CLOSE_VS_SMA50_PCT: 1.5 -> 0.5""]}";2;3;16;10;15;80;6;8;20;0;2;31;4;5;29;246;314;328;4,41595441052;2,87480241439;0,409760772026;rejected;decision_type=rejected, promotion_reason=, Muy baja frecuencia en 52 semanas.;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_001_260407133658
EXP_002;2026-04-07 16:58:34;BASELINE_CLEAN;C:\Pythons\ML-Trading\Base_Archivos_SPY\spy_context_asset_profile_configurable_regime_weeks_gated_close_vs_sma50_1_5_FIXED_GATES.py;BASELINE_CLEAN;TEST_B;PROFILE_MODE;p25_p75;zscore_distance;ENABLE_AVG_PROFILE_DISTANCE_GATE;True;False;Aislar impacto del nuevo PROFILE_MODE sin sesgo de gate no recalibrado.;run_partial_valid;true;false;"{""no_op_detected"": false, ""active_logic_changed"": true, ""details"": [""effective_diff PROFILE_MODE: p25_p75 -> zscore_distance"", ""effective_diff ENABLE_AVG_PROFILE_DISTANCE_GATE: true -> false""]}";4;6;30;20;25;145;11;14;53;5;6;47;4;5;45;222;365;1661,7015;1,78619859724;1,3757347678;1,69080827705;accepted;decision_type=accepted_for_followup, promotion_reason=Pendiente validación robusta en ventana larga real. No se reinicia initial_test_queue, corrida utilizable como parent., Aceptado para seguimiento, pendiente validación de ventana larga real., No se promueve baseline sin validar profundidad real de 156 semanas (actual=52)., Regla global aplicada: 4/8/24/52 validas + 156 insufficient_depth => parent util y sin reinicio de cola inicial.;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_002_260407160742
EXP_003;2026-04-07 17:41:03;EXP_002;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_002_260407160742\spy_context_asset_profile_configurable_regime_weeks_gated_close_vs_sma50_1_5_FIXED_GATES_EXP_002.py;BASELINE_CLEAN;;TOP_SIMILAR_SPY_WEEKS;20.0;16;;;;Ajuste de estabilidad del matching con impacto gradual.;run_partial_valid;true;false;"{""no_op_detected"": false, ""active_logic_changed"": true, ""details"": [""effective_diff TOP_SIMILAR_SPY_WEEKS: 20 -> 16""]}";4;6;30;20;25;145;9;11;43;6;8;52;5;6;50;152;170;877;1,08619859724;-0,184265232205;0,608461380495;rejected;decision_type=rejected, promotion_reason=, Empeora contra ultima corrida valida en PnL y spy_compare (52w).;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_003_260407171020
EXP_004;2026-04-07 18:26:11;EXP_002;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_002_260407160742\spy_context_asset_profile_configurable_regime_weeks_gated_close_vs_sma50_1_5_FIXED_GATES_EXP_002.py;BASELINE_CLEAN;;TOP_SIMILAR_SPY_WEEKS;20.0;16;;;;Ajuste de estabilidad del matching con impacto gradual.;run_partial_valid;true;false;"{""no_op_detected"": false, ""active_logic_changed"": true, ""details"": [""effective_diff TOP_SIMILAR_SPY_WEEKS: 20 -> 16""]}";4;6;30;20;25;145;9;11;43;6;8;52;5;6;50;152;170;877;1,08619859724;-0,184265232205;0,608461380495;rejected;decision_type=rejected, promotion_reason=, Empeora contra ultima corrida valida en PnL y spy_compare (52w).;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_004_260407175258
EXP_005;2026-04-07 19:11:10;EXP_002;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_002_260407160742\spy_context_asset_profile_configurable_regime_weeks_gated_close_vs_sma50_1_5_FIXED_GATES_EXP_002.py;BASELINE_CLEAN;;TOP_SIMILAR_SPY_WEEKS;20.0;16;;;;Ajuste de estabilidad del matching con impacto gradual.;run_partial_valid;true;false;"{""no_op_detected"": false, ""active_logic_changed"": true, ""details"": [""effective_diff TOP_SIMILAR_SPY_WEEKS: 20 -> 16""]}";4;6;30;20;25;145;9;11;43;6;8;52;5;6;50;152;170;877;1,08619859724;-0,184265232205;0,608461380495;rejected;decision_type=rejected, promotion_reason=, Empeora contra ultima corrida valida en PnL y spy_compare (52w).;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_005_260407183805
EXP_006;2026-04-07 20:01:07;EXP_002;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_002_260407160742\spy_context_asset_profile_configurable_regime_weeks_gated_close_vs_sma50_1_5_FIXED_GATES_EXP_002.py;BASELINE_CLEAN;;TOP_SIMILAR_SPY_WEEKS;20.0;16;;;;Ajuste de estabilidad del matching con impacto gradual.;run_partial_valid;true;false;"{""no_op_detected"": false, ""active_logic_changed"": true, ""details"": [""effective_diff TOP_SIMILAR_SPY_WEEKS: 20 -> 16""]}";4;6;30;20;25;145;9;11;43;6;8;52;5;6;50;152;170;877;1,08619859724;-0,184265232205;0,608461380495;rejected;decision_type=rejected, promotion_reason=, Empeora contra ultima corrida valida en PnL y spy_compare (52w).;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_006_260407192312
EXP_007;2026-04-07 21:01:49;EXP_002;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_002_260407160742\spy_context_asset_profile_configurable_regime_weeks_gated_close_vs_sma50_1_5_FIXED_GATES_EXP_002.py;BASELINE_CLEAN;;TOP_CANDIDATES_NEXT_WEEK;5.0;2;;;;Cambio directo en cantidad de trades semanales.;run_partial_valid;true;false;"{""no_op_detected"": false, ""active_logic_changed"": true, ""details"": [""effective_diff TOP_CANDIDATES_NEXT_WEEK: 5 -> 2""]}";4;6;30;8;10;58;5;7;22;2;2;19;1;1;17;110,8;181;545,8;2,33619859724;2,0757347678;1,2808751736;rejected;decision_type=rejected, promotion_reason=, Empeora contra ultima corrida valida en PnL y spy_compare (52w).;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_007_260407200820
EXP_008;2026-04-07 21:54:56;EXP_002;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_002_260407160742\spy_context_asset_profile_configurable_regime_weeks_gated_close_vs_sma50_1_5_FIXED_GATES_EXP_002.py;BASELINE_CLEAN;;TOP_CANDIDATES_NEXT_WEEK;5.0;4;;;;Cambio directo en cantidad de trades semanales.;run_partial_valid;true;false;"{""no_op_detected"": false, ""active_logic_changed"": true, ""details"": [""effective_diff TOP_CANDIDATES_NEXT_WEEK: 5 -> 4""]}";4;6;30;16;20;116;9;12;39;4;5;42;3;3;35;151,6;292;846,6;1,46119859724;1,3757347678;0,858461380495;rejected;decision_type=rejected, promotion_reason=, Empeora contra ultima corrida valida en PnL y spy_compare (52w).;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_008_260407210831
EXP_009;2026-04-07 22:09:01;EXP_002;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_002_260407160742\spy_context_asset_profile_configurable_regime_weeks_gated_close_vs_sma50_1_5_FIXED_GATES_EXP_002.py;BASELINE_CLEAN;;TOP_CANDIDATES_NEXT_WEEK;5.0;2;;;;Cambio directo en cantidad de trades semanales.;blocked_duplicate;false;true;;;;;;;;;;;;;;;;;;;;;;;rejected;Configuracion ya probada en EXP_007_260407200820;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_009_260407220843
EXP_010;2026-04-07 22:53:36;EXP_002;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_002_260407160742\spy_context_asset_profile_configurable_regime_weeks_gated_close_vs_sma50_1_5_FIXED_GATES_EXP_002.py;BASELINE_CLEAN;;TOP_CANDIDATES_NEXT_WEEK;5.0;3;;;;Cambio directo en cantidad de trades semanales.;run_partial_valid;true;false;"{""no_op_detected"": false, ""active_logic_changed"": true, ""details"": [""effective_diff TOP_CANDIDATES_NEXT_WEEK: 5 -> 3""]}";4;6;30;12;15;87;8;11;31;2;2;30;2;2;26;181,2;349;721,2;2,58619859724;3,10906810113;1,05673724256;rejected;decision_type=rejected, promotion_reason=, Empeora contra ultima corrida valida en PnL y spy_compare (52w).;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_010_260407220919
