run_id;date;status;accepted_or_rejected;parent_run_id;main_parameter;main_from;main_to;w8_trades;w24_trades;w52_trades;w8_pnl;w24_pnl;w52_pnl;w8_spy_compare;w24_spy_compare;w52_spy_compare;notes;run_dir
EXP_1261;2026-04-30 16:43:23;blocked_no_material_candidate;rejected;EXP_396;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1261_260430164320
EXP_1262;2026-04-30 16:43:34;blocked_no_material_candidate;rejected;EXP_396;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1262_260430164331
EXP_1263;2026-04-30 16:43:45;blocked_no_material_candidate;rejected;EXP_396;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1263_260430164342
EXP_1264;2026-04-30 16:43:57;blocked_no_material_candidate;rejected;EXP_396;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1264_260430164354
EXP_1265;2026-04-30 16:44:08;blocked_no_material_candidate;rejected;EXP_396;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1265_260430164405
EXP_1266;2026-04-30 16:44:20;blocked_no_material_candidate;rejected;EXP_396;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1266_260430164416
EXP_1267;2026-04-30 16:44:32;blocked_no_material_candidate;rejected;EXP_396;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1267_260430164429
EXP_1268;2026-04-30 16:44:49;blocked_no_material_candidate;rejected;EXP_396;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1268_260430164442
EXP_1269;2026-04-30 16:45:10;blocked_no_material_candidate;rejected;EXP_396;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1269_260430164506
EXP_1270;2026-04-30 16:45:28;blocked_no_material_candidate;rejected;EXP_396;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1270_260430164520
EXP_1271;2026-04-30 16:45:54;blocked_no_material_candidate;rejected;EXP_396;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1271_260430164545
EXP_1272;2026-04-30 16:46:10;blocked_no_material_candidate;rejected;EXP_396;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1272_260430164606
EXP_1273;2026-04-30 16:46:23;blocked_no_material_candidate;rejected;EXP_396;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1273_260430164619
EXP_1274;2026-04-30 16:46:35;blocked_no_material_candidate;rejected;EXP_396;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1274_260430164631
EXP_1275;2026-04-30 16:46:49;blocked_no_material_candidate;rejected;EXP_396;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1275_260430164644
EXP_1276;2026-04-30 16:47:04;blocked_no_material_candidate;rejected;EXP_396;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1276_260430164658
EXP_1277;2026-04-30 16:47:18;blocked_no_material_candidate;rejected;EXP_396;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1277_260430164714
EXP_1278;2026-04-30 21:43:42;run_ok;accepted;BASELINE_CLEAN;TOP_CANDIDATES_NEXT_WEEK;5.0;4;12;16;104;191,2;286,6;1146,9026;3,18782197227;2,85149108474;1,82191095604;decision_type=accepted_for_followup, promotion_reason=Corrida util para seguimiento, pendiente validacion larga robusta., Aceptado para seguimiento., Falta ventana valida multi-anio (53 semanas reales). actual=None;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1278_260430213253
