run_id;date;parent_run_id;status;accepted_or_rejected;main_parameter;main_to;dependent_parameter;dependent_to;strategy_family;profile_mode;min_spy_channel_r2;max_avg_profile_distance;enable_close_vs_sma50_filter;max_close_vs_sma50_pct;top_candidates_next_week;w8_weeks_traded;w24_weeks_traded;w52_weeks_traded;w8_trades;w24_trades;w52_trades;w8_wins;w24_wins;w52_wins;w8_losses;w24_losses;w52_losses;w8_ties;w24_ties;w52_ties;w8_avg_net_return_pct;w24_avg_net_return_pct;w52_avg_net_return_pct;w8_total_net_pnl_dollars;w24_total_net_pnl_dollars;w52_total_net_pnl_dollars;w8_spy_compare;w24_spy_compare;w52_spy_compare;run_dir
EXP_001;2026-04-07 15:59:07;BASELINE_CLEAN;run_partial_valid;rejected;ENABLE_CLOSE_VS_SMA50_FILTER;True;MAX_CLOSE_VS_SMA50_PCT;0.5;profile_match;p25_p75;0,55;0,2;True;0,5;5;2;3;16;10;15;80;6;8;20;0;2;31;4;5;29;4,92;4,18666666667;0,82;246;314;328;4,41595441052;2,87480241439;0,409760772026;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_001_260407133658
EXP_002;2026-04-07 16:58:34;BASELINE_CLEAN;run_partial_valid;accepted;PROFILE_MODE;zscore_distance;ENABLE_AVG_PROFILE_DISTANCE_GATE;False;profile_match;zscore_distance;0,55;0,2;False;1,5;5;4;6;30;20;25;145;11;14;53;5;6;47;4;5;45;2,22;2,92;2,29200206897;222;365;1661,7015;1,78619859724;1,3757347678;1,69080827705;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_002_260407160742
EXP_003;2026-04-07 17:41:04;EXP_002;run_partial_valid;rejected;TOP_SIMILAR_SPY_WEEKS;16;;;profile_match;zscore_distance;0,55;0,2;False;1,5;5;4;6;30;20;25;145;9;11;43;6;8;52;5;6;50;1,52;1,36;1,20965517241;152;170;877;1,08619859724;-0,184265232205;0,608461380495;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_003_260407171020
EXP_004;2026-04-07 18:26:11;EXP_002;run_partial_valid;rejected;TOP_SIMILAR_SPY_WEEKS;16;;;profile_match;zscore_distance;0,55;0,2;False;1,5;5;4;6;30;20;25;145;9;11;43;6;8;52;5;6;50;1,52;1,36;1,20965517241;152;170;877;1,08619859724;-0,184265232205;0,608461380495;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_004_260407175258
EXP_005;2026-04-07 19:11:10;EXP_002;run_partial_valid;rejected;TOP_SIMILAR_SPY_WEEKS;16;;;profile_match;zscore_distance;0,55;0,2;False;1,5;5;4;6;30;20;25;145;9;11;43;6;8;52;5;6;50;1,52;1,36;1,20965517241;152;170;877;1,08619859724;-0,184265232205;0,608461380495;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_005_260407183805
EXP_006;2026-04-07 20:01:07;EXP_002;run_partial_valid;rejected;TOP_SIMILAR_SPY_WEEKS;16;;;profile_match;zscore_distance;0,55;0,2;False;1,5;5;4;6;30;20;25;145;9;11;43;6;8;52;5;6;50;1,52;1,36;1,20965517241;152;170;877;1,08619859724;-0,184265232205;0,608461380495;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_006_260407192312
EXP_007;2026-04-07 21:01:49;EXP_002;run_partial_valid;rejected;TOP_CANDIDATES_NEXT_WEEK;2;;;profile_match;zscore_distance;0,55;0,2;False;1,5;2;4;6;30;8;10;58;5;7;22;2;2;19;1;1;17;2,77;3,62;1,88206896552;110,8;181;545,8;2,33619859724;2,0757347678;1,2808751736;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_007_260407200820
EXP_008;2026-04-07 21:54:56;EXP_002;run_partial_valid;rejected;TOP_CANDIDATES_NEXT_WEEK;4;;;profile_match;zscore_distance;0,55;0,2;False;1,5;4;4;6;30;16;20;116;9;12;39;4;5;42;3;3;35;1,895;2,92;1,45965517241;151,6;292;846,6;1,46119859724;1,3757347678;0,858461380495;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_008_260407210831
EXP_010;2026-04-07 22:53:36;EXP_002;run_partial_valid;rejected;TOP_CANDIDATES_NEXT_WEEK;3;;;profile_match;zscore_distance;0,55;0,2;False;1,5;3;4;6;30;12;15;87;8;11;31;2;2;30;2;2;26;3,02;4,65333333333;1,65793103448;181,2;349;721,2;2,58619859724;3,10906810113;1,05673724256;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_010_260407220919
EXP_012;2026-04-07 23:43:25;EXP_002;run_partial_valid;accepted;MIN_SPY_CHANNEL_R2;0.6;;;profile_match;zscore_distance;0,6;0,2;False;1,5;5;1;2;26;5;5;125;5;5;44;0;0;41;0;0;40;8,52;8,52;2,4155224;213;213;1509,7015;10,4559779941;7,1865468949;1,97563283944;C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_012_260407225406
